"species","year","geo_group","region","median","q1","q3"
"rainbowtrout",2024,"area","area_2",31.59,18.87,62
"rainbowtrout",2020,"area","area_2",31.85,10.58,67.42
"rainbowtrout",2023,"area","area_1",30.32,1.21,45.89
"salmon",2022,"area","area_2",33.06,4.93,46.86
"rainbowtrout",2024,"area","area_4",14.2,5.65,72.16
"salmon",2023,"area","area_3",23.98,6.77,37.49
"rainbowtrout",2024,"area","area_3",10.93,4.75,31.88
"salmon",2023,"area","area_5",22.01,8.65,22.25
"salmon",2021,"area","area_5",22.06,7.79,32.51
"salmon",2021,"area","area_2",34.19,31.53,76.15
"salmon",2024,"area","area_3",35.62,20.5,71.9
"rainbowtrout",2022,"area","area_3",17.77,1.58,77.54
"salmon",2022,"area","area_4",35.37,27.94,39.34
"rainbowtrout",2023,"area","area_3",22.98,20.17,48.35
"salmon",2024,"area","area_5",15.47,3.3,27.55
"salmon",2020,"area","area_4",23.48,13.25,76.57
"rainbowtrout",2023,"area","area_4",24.59,17.53,75.62
"salmon",2023,"area","area_1",11.7,8.97,15.77
"rainbowtrout",2022,"area","area_5",16.77,6.74,18.01
"salmon",2021,"area","area_1",31.06,14.73,67.44
"rainbowtrout",2020,"area","area_3",11.12,4.97,68.57
"rainbowtrout",2022,"area","area_2",22.09,10.45,36.22
"rainbowtrout",2020,"area","area_4",34.52,1.78,39.92
"salmon",2020,"area","area_2",36.04,12.93,75.18
"rainbowtrout",2021,"area","area_1",36.74,36.38,76.77
"rainbowtrout",2021,"area","area_2",10.5,5.36,28.98
"salmon",2021,"area","area_3",19.99,12.84,52.87
"rainbowtrout",2023,"area","area_5",15.82,13.7,44.33
"salmon",2022,"area","area_5",27.67,9.76,74.58
"salmon",2020,"area","area_3",23.8,19.43,74.57
"salmon",2020,"area","area_1",22.38,18.09,74.94
"salmon",2020,"area","area_5",16.14,5.1,41.92
"rainbowtrout",2023,"area","area_2",12.87,10.14,78.37
"salmon",2023,"area","area_2",16.41,7.51,39.87
"rainbowtrout",2021,"area","area_3",36.75,26.69,48.89
"salmon",2024,"area","area_1",11.3,7.82,23.03
"rainbowtrout",2022,"area","area_1",24.03,7.33,47.15
"salmon",2021,"area","area_4",31.94,16.24,67.81
"salmon",2022,"area","area_1",22.53,10.65,61.94
"rainbowtrout",2024,"area","area_1",22.12,21.22,55.16
"salmon",2022,"area","area_3",19.03,15.24,39.56
"rainbowtrout",2020,"area","area_5",15.3,10.76,18.65
"salmon",2023,"area","area_4",16.35,4.27,46.16
"rainbowtrout",2021,"area","area_5",30.61,2.89,37.72
"rainbowtrout",2020,"area","area_1",24.58,1.01,36.23
"salmon",2024,"area","area_2",10.86,5.1,58.66
"rainbowtrout",2021,"area","area_4",24.85,23.04,39.53
"rainbowtrout",2022,"area","area_4",12.91,2.6,62.73
"salmon",2024,"area","area_4",18.97,13.91,21.95
"rainbowtrout",2024,"area","area_5",17.85,12.13,58.01
"salmon",2020,"county","county_2",19.74,12.73,46.05
"salmon",2022,"county","county_1",12.35,12.34,64.95
"rainbowtrout",2024,"county","county_2",27.58,21.91,28.32
"salmon",2023,"county","county_1",19.59,8.29,28.8
"rainbowtrout",2024,"county","county_3",34.85,19.36,40.55
"salmon",2020,"county","county_1",39.63,19.37,55.26
"rainbowtrout",2021,"county","county_2",25.24,12.14,30.29
"salmon",2021,"county","county_3",18.03,9.21,27.46
"rainbowtrout",2023,"county","county_3",37.4,6.93,48.83
"salmon",2022,"county","county_3",31.12,4.8,37.72
"rainbowtrout",2022,"county","county_1",16.59,8.78,48.84
"rainbowtrout",2020,"county","county_2",38,10.04,45.64
"salmon",2023,"county","county_3",39.91,1.31,72.91
"salmon",2021,"county","county_1",14.03,2.36,27.28
"rainbowtrout",2022,"county","county_2",35.5,7.87,39.27
"rainbowtrout",2023,"county","county_2",36.95,21.96,72.09
"salmon",2024,"county","county_1",11.61,8.08,36.74
"rainbowtrout",2022,"county","county_3",14.1,5.73,70.9
"salmon",2024,"county","county_3",13.26,2.62,68.01
"rainbowtrout",2020,"county","county_3",15.49,3.29,76.68
"rainbowtrout",2020,"county","county_1",23.84,10.34,72.25
"rainbowtrout",2023,"county","county_1",37.1,19.61,39.93
"salmon",2022,"county","county_2",38.83,23.78,67.01
"rainbowtrout",2021,"county","county_1",29.49,12.86,63.85
"salmon",2023,"county","county_2",36.17,26.97,42.25
"rainbowtrout",2021,"county","county_3",10.37,8.63,30.07
"rainbowtrout",2024,"county","county_1",12.6,8.56,21.3
"salmon",2024,"county","county_2",20.77,11.35,56.54
"salmon",2020,"county","county_3",14.39,9.19,31.45
"salmon",2021,"county","county_2",11.28,6.33,18.2
"salmon",2021,"country","Country",20.46,18.35,53.91
"salmon",2024,"country","Country",16.55,3.46,37.47
"rainbowtrout",2024,"country","Country",28.53,6.18,43.43
"rainbowtrout",2022,"country","Country",13.27,4.51,65.21
"rainbowtrout",2021,"country","Country",10.01,2.58,63.98
"salmon",2020,"country","Country",12.29,10.73,73.24
"rainbowtrout",2020,"country","Country",37.66,34.76,52.61
"salmon",2022,"country","Country",23.58,19.88,52.18
"rainbowtrout",2023,"country","Country",31.17,2.68,54.21
"salmon",2023,"country","Country",19.36,18.99,46.57
