"species","date","geo_group","region","mean"
"rainbowtrout",2021-01-01,"area","area_1",0.64
"rainbowtrout",2021-02-01,"area","area_1",1.64
"rainbowtrout",2021-03-01,"area","area_1",4.06
"rainbowtrout",2021-04-01,"area","area_1",6.06
"rainbowtrout",2021-05-01,"area","area_1",6.84
"rainbowtrout",2021-06-01,"area","area_1",7.36
"rainbowtrout",2021-07-01,"area","area_1",9.58
"rainbowtrout",2021-08-01,"area","area_1",11.66
"rainbowtrout",2021-09-01,"area","area_1",13.45
"rainbowtrout",2021-10-01,"area","area_1",15.28
"rainbowtrout",2021-11-01,"area","area_1",17.39
"rainbowtrout",2021-12-01,"area","area_1",18.61
"rainbowtrout",2022-01-01,"area","area_1",2.98
"rainbowtrout",2022-02-01,"area","area_1",5.33
"rainbowtrout",2022-03-01,"area","area_1",7.9
"rainbowtrout",2022-04-01,"area","area_1",9.68
"rainbowtrout",2022-05-01,"area","area_1",10.29
"rainbowtrout",2022-06-01,"area","area_1",13.26
"rainbowtrout",2022-07-01,"area","area_1",15.04
"rainbowtrout",2022-08-01,"area","area_1",17.75
"rainbowtrout",2022-09-01,"area","area_1",20.26
"rainbowtrout",2022-10-01,"area","area_1",21.21
"rainbowtrout",2022-11-01,"area","area_1",23.33
"rainbowtrout",2022-12-01,"area","area_1",25.24
"rainbowtrout",2023-01-01,"area","area_1",0.99
"rainbowtrout",2023-02-01,"area","area_1",3.17
"rainbowtrout",2023-03-01,"area","area_1",5.28
"rainbowtrout",2023-04-01,"area","area_1",8.19
"rainbowtrout",2023-05-01,"area","area_1",10.25
"rainbowtrout",2023-06-01,"area","area_1",12.98
"rainbowtrout",2023-07-01,"area","area_1",14.05
"rainbowtrout",2023-08-01,"area","area_1",14.69
"rainbowtrout",2023-09-01,"area","area_1",15.77
"rainbowtrout",2023-10-01,"area","area_1",18.16
"rainbowtrout",2023-11-01,"area","area_1",19.37
"rainbowtrout",2023-12-01,"area","area_1",22.29
"rainbowtrout",2024-01-01,"area","area_1",1.78
"rainbowtrout",2024-02-01,"area","area_1",2.6
"rainbowtrout",2024-03-01,"area","area_1",4.87
"rainbowtrout",2024-04-01,"area","area_1",5.6
"rainbowtrout",2024-05-01,"area","area_1",7.48
"rainbowtrout",2024-06-01,"area","area_1",8.75
"rainbowtrout",2024-07-01,"area","area_1",11.03
"rainbowtrout",2024-08-01,"area","area_1",12.45
"rainbowtrout",2024-09-01,"area","area_1",13.73
"rainbowtrout",2024-10-01,"area","area_1",16.24
"rainbowtrout",2024-11-01,"area","area_1",18.7
"rainbowtrout",2024-12-01,"area","area_1",20.29
"rainbowtrout",2025-01-01,"area","area_1",1.65
"rainbowtrout",2025-02-01,"area","area_1",4.36
"rainbowtrout",2025-03-01,"area","area_1",6.65
"rainbowtrout",2025-04-01,"area","area_1",7.49
"rainbowtrout",2025-05-01,"area","area_1",9.98
"rainbowtrout",2025-06-01,"area","area_1",12.87
"rainbowtrout",2025-07-01,"area","area_1",14.27
"rainbowtrout",2025-08-01,"area","area_1",16.96
"rainbowtrout",2025-09-01,"area","area_1",19.22
"rainbowtrout",2025-10-01,"area","area_1",20.87
"rainbowtrout",2025-11-01,"area","area_1",23
"rainbowtrout",2025-12-01,"area","area_1",25.24
"rainbowtrout",2021-01-01,"area","area_2",0.9
"rainbowtrout",2021-02-01,"area","area_2",3.61
"rainbowtrout",2021-03-01,"area","area_2",5.3
"rainbowtrout",2021-04-01,"area","area_2",6.31
"rainbowtrout",2021-05-01,"area","area_2",8.09
"rainbowtrout",2021-06-01,"area","area_2",10.59
"rainbowtrout",2021-07-01,"area","area_2",11.47
"rainbowtrout",2021-08-01,"area","area_2",13.12
"rainbowtrout",2021-09-01,"area","area_2",14.07
"rainbowtrout",2021-10-01,"area","area_2",16.49
"rainbowtrout",2021-11-01,"area","area_2",19.27
"rainbowtrout",2021-12-01,"area","area_2",22.11
"rainbowtrout",2022-01-01,"area","area_2",0.92
"rainbowtrout",2022-02-01,"area","area_2",2.63
"rainbowtrout",2022-03-01,"area","area_2",4.26
"rainbowtrout",2022-04-01,"area","area_2",5.49
"rainbowtrout",2022-05-01,"area","area_2",7.17
"rainbowtrout",2022-06-01,"area","area_2",10.08
"rainbowtrout",2022-07-01,"area","area_2",11.32
"rainbowtrout",2022-08-01,"area","area_2",13.68
"rainbowtrout",2022-09-01,"area","area_2",14.79
"rainbowtrout",2022-10-01,"area","area_2",16.53
"rainbowtrout",2022-11-01,"area","area_2",18.88
"rainbowtrout",2022-12-01,"area","area_2",19.87
"rainbowtrout",2023-01-01,"area","area_2",1.04
"rainbowtrout",2023-02-01,"area","area_2",1.86
"rainbowtrout",2023-03-01,"area","area_2",4.63
"rainbowtrout",2023-04-01,"area","area_2",6.85
"rainbowtrout",2023-05-01,"area","area_2",7.93
"rainbowtrout",2023-06-01,"area","area_2",8.96
"rainbowtrout",2023-07-01,"area","area_2",10.61
"rainbowtrout",2023-08-01,"area","area_2",13.01
"rainbowtrout",2023-09-01,"area","area_2",15.1
"rainbowtrout",2023-10-01,"area","area_2",17.17
"rainbowtrout",2023-11-01,"area","area_2",18.97
"rainbowtrout",2023-12-01,"area","area_2",21.61
"rainbowtrout",2024-01-01,"area","area_2",1.96
"rainbowtrout",2024-02-01,"area","area_2",3.91
"rainbowtrout",2024-03-01,"area","area_2",6.05
"rainbowtrout",2024-04-01,"area","area_2",8.65
"rainbowtrout",2024-05-01,"area","area_2",10.83
"rainbowtrout",2024-06-01,"area","area_2",11.56
"rainbowtrout",2024-07-01,"area","area_2",12.46
"rainbowtrout",2024-08-01,"area","area_2",13.82
"rainbowtrout",2024-09-01,"area","area_2",15.18
"rainbowtrout",2024-10-01,"area","area_2",16.2
"rainbowtrout",2024-11-01,"area","area_2",19.08
"rainbowtrout",2024-12-01,"area","area_2",21.5
"rainbowtrout",2025-01-01,"area","area_2",1.17
"rainbowtrout",2025-02-01,"area","area_2",2.8
"rainbowtrout",2025-03-01,"area","area_2",5.5
"rainbowtrout",2025-04-01,"area","area_2",7.19
"rainbowtrout",2025-05-01,"area","area_2",7.69
"rainbowtrout",2025-06-01,"area","area_2",9.05
"rainbowtrout",2025-07-01,"area","area_2",11.66
"rainbowtrout",2025-08-01,"area","area_2",13.01
"rainbowtrout",2025-09-01,"area","area_2",14.1
"rainbowtrout",2025-10-01,"area","area_2",14.69
"rainbowtrout",2025-11-01,"area","area_2",17.31
"rainbowtrout",2025-12-01,"area","area_2",19.96
"rainbowtrout",2021-01-01,"area","area_3",2.56
"rainbowtrout",2021-02-01,"area","area_3",5.29
"rainbowtrout",2021-03-01,"area","area_3",7.17
"rainbowtrout",2021-04-01,"area","area_3",8.26
"rainbowtrout",2021-05-01,"area","area_3",10.15
"rainbowtrout",2021-06-01,"area","area_3",11.35
"rainbowtrout",2021-07-01,"area","area_3",14.13
"rainbowtrout",2021-08-01,"area","area_3",16.93
"rainbowtrout",2021-09-01,"area","area_3",19.45
"rainbowtrout",2021-10-01,"area","area_3",20.85
"rainbowtrout",2021-11-01,"area","area_3",22.9
"rainbowtrout",2021-12-01,"area","area_3",23.5
"rainbowtrout",2022-01-01,"area","area_3",2.24
"rainbowtrout",2022-02-01,"area","area_3",3.49
"rainbowtrout",2022-03-01,"area","area_3",5.71
"rainbowtrout",2022-04-01,"area","area_3",8.16
"rainbowtrout",2022-05-01,"area","area_3",10.11
