"species","date","geo_group","region","losses","dead","discarded","escaped","other"
"salmon",2024-07-01,"area","area_3",909493,733775,44072,143,131503
"rainbowtrout",2024-06-01,"area","area_1",910143,753066,22205,482,134390
"rainbowtrout",2020-10-01,"area","area_5",848183,686089,40822,633,120639
"rainbowtrout",2022-03-01,"area","area_5",658517,490058,13183,598,154678
"rainbowtrout",2022-12-01,"area","area_5",575424,420502,17208,257,137457
"salmon",2021-08-01,"area","area_3",924836,790042,20960,179,113655
"rainbowtrout",2020-03-01,"area","area_1",772977,677516,20767,620,74074
"salmon",2020-06-01,"area","area_5",839731,638674,40198,826,160033
"salmon",2023-02-01,"area","area_5",975193,834379,42612,915,97287
"rainbowtrout",2023-12-01,"area","area_3",880199,726521,29132,399,124147
"rainbowtrout",2024-10-01,"area","area_3",850669,604549,20202,469,225449
"salmon",2022-12-01,"area","area_1",960045,829922,41172,941,88010
"salmon",2022-09-01,"area","area_5",993020,841998,45328,366,105328
"salmon",2024-12-01,"area","area_2",937668,787346,44362,167,105793
"salmon",2022-02-01,"area","area_5",676065,595088,16549,602,63826
"rainbowtrout",2024-07-01,"area","area_5",939635,807931,30754,628,100322
"rainbowtrout",2022-11-01,"area","area_5",703769,544553,34331,406,124479
"rainbowtrout",2021-08-01,"area","area_1",762679,570429,27244,206,164800
"salmon",2022-07-01,"area","area_1",942964,829948,44145,805,68066
"salmon",2021-02-01,"area","area_5",843343,714614,35028,597,93104
"rainbowtrout",2024-12-01,"area","area_1",622754,467487,24931,431,129905
"rainbowtrout",2020-02-01,"area","area_2",677058,558574,21567,604,96313
"rainbowtrout",2024-11-01,"area","area_2",859962,695439,30100,129,134294
"rainbowtrout",2022-09-01,"area","area_3",910253,691198,26982,379,191694
"salmon",2021-03-01,"area","area_2",976541,798382,27366,441,150352
"rainbowtrout",2023-03-01,"area","area_5",799461,627736,26763,191,144771
"rainbowtrout",2021-04-01,"area","area_4",731477,561581,21842,163,147891
"rainbowtrout",2024-08-01,"area","area_2",530804,476142,16361,498,37803
"salmon",2020-08-01,"area","area_5",725181,607982,17141,670,99388
"salmon",2022-06-01,"area","area_5",735538,524963,24982,556,185037
"salmon",2024-09-01,"area","area_4",972355,802001,31608,910,137836
"salmon",2020-05-01,"area","area_1",548302,413993,27070,392,106847
"rainbowtrout",2021-04-01,"area","area_5",843892,646061,30428,332,167071
"rainbowtrout",2022-10-01,"area","area_5",671355,530125,17666,212,123352
