"species","date","geo_group","region","median","q1","q3"
"salmon",2025-05-01,"area","area_3",0.65,0.17,1.76
"rainbowtrout",2021-05-01,"area","area_4",0.91,0.2,2.3
"rainbowtrout",2022-03-01,"area","area_4",0.78,0.31,1.78
"rainbowtrout",2021-01-01,"area","area_4",1.39,0.29,1.66
"salmon",2025-01-01,"area","area_3",1.45,0.25,1.56
"rainbowtrout",2022-05-01,"area","area_5",0.55,0.37,1.66
"rainbowtrout",2023-02-01,"area","area_3",0.77,0.47,2.37
"rainbowtrout",2024-11-01,"area","area_1",1.24,0.18,1.78
"salmon",2025-03-01,"area","area_5",1.44,0.31,2.5
"salmon",2021-10-01,"area","area_2",0.99,0.26,1.92
"salmon",2025-12-01,"area","area_5",1.02,0.42,2.28
"rainbowtrout",2023-03-01,"area","area_4",1.43,0.31,1.83
"salmon",2021-07-01,"area","area_2",1.19,0.31,1.6
"salmon",2025-12-01,"area","area_1",1.22,0.42,2.11
"salmon",2021-08-01,"area","area_3",0.57,0.46,2.32
"salmon",2023-11-01,"area","area_1",1.08,0.18,2.37
"rainbowtrout",2021-02-01,"area","area_5",1.31,0.15,2.21
"salmon",2022-02-01,"area","area_5",1.29,0.11,1.53
"salmon",2023-03-01,"area","area_4",0.53,0.1,1.62
"rainbowtrout",2022-05-01,"area","area_1",0.69,0.14,2.02
"rainbowtrout",2022-09-01,"area","area_4",0.71,0.47,2.32
"rainbowtrout",2021-02-01,"area","area_3",1.01,0.32,2.08
"salmon",2023-02-01,"area","area_4",1.32,0.21,1.79
"salmon",2022-05-01,"area","area_3",1.13,0.13,1.55
"rainbowtrout",2024-12-01,"area","area_1",1.1,0.41,2.43
"salmon",2025-02-01,"area","area_4",0.95,0.28,2.3
"salmon",2025-01-01,"area","area_4",1.02,0.44,1.96
"salmon",2022-03-01,"area","area_1",0.82,0.2,1.72
"rainbowtrout",2024-08-01,"area","area_1",1.31,0.14,2.16
"salmon",2022-07-01,"area","area_3",1.42,0.46,2.46
"salmon",2025-04-01,"area","area_3",1.26,0.33,2.07
"salmon",2022-10-01,"area","area_5",0.58,0.28,2.12
"salmon",2021-06-01,"area","area_1",0.88,0.27,1.75
"salmon",2024-08-01,"area","area_1",1.48,0.13,2.38
"salmon",2023-10-01,"area","area_3",1.28,0.42,1.95
"rainbowtrout",2021-06-01,"area","area_3",0.94,0.17,1.99
"salmon",2023-06-01,"area","area_1",1.02,0.31,1.81
"rainbowtrout",2022-08-01,"area","area_4",0.61,0.38,1.8
"salmon",2022-08-01,"area","area_3",1.04,0.25,1.66
"salmon",2024-06-01,"area","area_1",0.51,0.44,1.6
"salmon",2021-09-01,"area","area_2",1.35,0.42,2.08
"salmon",2025-11-01,"area","area_4",0.87,0.33,2.13
"rainbowtrout",2023-08-01,"area","area_5",0.58,0.46,2.44
"salmon",2023-09-01,"area","area_5",0.84,0.14,1.7
"rainbowtrout",2023-11-01,"area","area_1",0.54,0.24,1.87
"salmon",2023-04-01,"area","area_2",1.25,0.23,1.69
"salmon",2024-05-01,"area","area_3",0.66,0.13,2.24
"rainbowtrout",2025-10-01,"area","area_4",0.53,0.19,2.24
"rainbowtrout",2022-05-01,"area","area_4",1.4,0.31,2.33
"salmon",2024-06-01,"area","area_4",0.8,0.24,1.84
"rainbowtrout",2025-09-01,"area","area_4",0.95,0.32,2.05
"rainbowtrout",2022-04-01,"area","area_4",0.8,0.19,1.89
"salmon",2022-08-01,"area","area_1",1.24,0.23,2.43
"rainbowtrout",2023-07-01,"area","area_4",1.22,0.28,2.19
"salmon",2025-10-01,"area","area_4",1.19,0.36,1.66
"salmon",2025-04-01,"area","area_5",1.22,0.16,1.71
"salmon",2022-08-01,"area","area_4",1.34,0.3,2.45
"salmon",2021-09-01,"area","area_5",0.85,0.3,1.86
"salmon",2022-07-01,"area","area_5",1.43,0.36,1.55
"rainbowtrout",2025-08-01,"area","area_4",0.67,0.15,2.06
"salmon",2025-03-01,"area","area_3",1.38,0.27,2.18
"salmon",2025-05-01,"area","area_1",1.27,0.37,2.29
"rainbowtrout",2022-12-01,"area","area_3",0.75,0.4,2.46
"salmon",2023-08-01,"area","area_2",1.39,0.26,1.64
"rainbowtrout",2025-12-01,"area","area_5",1.07,0.19,2.07
"salmon",2023-09-01,"area","area_2",0.79,0.33,1.72
"rainbowtrout",2021-10-01,"area","area_4",0.78,0.15,1.73
"rainbowtrout",2023-05-01,"area","area_2",0.83,0.25,1.84
"salmon",2021-05-01,"area","area_2",0.82,0.43,2.06
"salmon",2025-11-01,"area","area_1",0.72,0.1,2.12
"rainbowtrout",2022-06-01,"area","area_4",1.38,0.17,2.11
"salmon",2024-03-01,"area","area_4",0.68,0.42,1.67
"rainbowtrout",2024-12-01,"area","area_3",0.52,0.35,2.19
"rainbowtrout",2022-06-01,"area","area_2",0.92,0.29,2.24
"rainbowtrout",2025-05-01,"area","area_3",1.19,0.39,2.35
"rainbowtrout",2025-08-01,"area","area_3",0.82,0.25,2.43
"rainbowtrout",2021-03-01,"area","area_5",1.1,0.34,2.09
"rainbowtrout",2023-06-01,"area","area_3",0.71,0.28,1.92
"rainbowtrout",2022-07-01,"area","area_1",1.32,0.28,1.86
"salmon",2024-07-01,"area","area_1",0.52,0.16,1.61
"salmon",2022-12-01,"area","area_2",0.51,0.43,1.7
"salmon",2024-03-01,"area","area_1",1.23,0.18,1.76
"salmon",2022-05-01,"area","area_4",0.81,0.36,2.21
"rainbowtrout",2025-02-01,"area","area_3",1.43,0.19,2.02
"salmon",2021-08-01,"area","area_1",1.01,0.26,1.83
"rainbowtrout",2021-09-01,"area","area_2",0.9,0.36,1.8
"salmon",2022-04-01,"area","area_1",0.72,0.23,2.07
"rainbowtrout",2021-10-01,"area","area_2",0.51,0.39,2.43
"salmon",2024-06-01,"area","area_3",1.44,0.31,2.3
"salmon",2022-04-01,"area","area_4",1.28,0.41,1.99
"salmon",2024-04-01,"area","area_2",1.36,0.39,2.19
"salmon",2024-05-01,"area","area_4",0.71,0.39,1.85
"salmon",2025-05-01,"area","area_5",0.74,0.39,2.12
"rainbowtrout",2021-09-01,"area","area_3",0.94,0.29,1.94
"rainbowtrout",2025-07-01,"area","area_1",1.37,0.23,2.12
"salmon",2025-02-01,"area","area_3",0.54,0.42,2.39
"salmon",2022-06-01,"area","area_1",0.79,0.45,1.58
"rainbowtrout",2023-01-01,"area","area_2",1.31,0.11,1.55
"rainbowtrout",2021-10-01,"area","area_3",0.68,0.33,1.58
"salmon",2025-05-01,"area","area_2",0.8,0.46,1.97
"salmon",2022-08-01,"area","area_5",0.64,0.48,1.6
"rainbowtrout",2023-10-01,"area","area_4",1.26,0.34,2.23
"rainbowtrout",2025-04-01,"area","area_5",0.74,0.4,2.38
"salmon",2023-12-01,"area","area_1",1.35,0.4,1.81
"salmon",2025-08-01,"area","area_2",1,0.48,1.51
"salmon",2022-06-01,"area","area_4",0.54,0.37,2.08
"rainbowtrout",2021-04-01,"area","area_5",0.85,0.33,2.16
"salmon",2023-07-01,"area","area_1",0.53,0.23,2.36
"rainbowtrout",2024-04-01,"area","area_4",0.94,0.32,1.64
"rainbowtrout",2023-05-01,"area","area_5",0.98,0.31,1.9
"rainbowtrout",2022-06-01,"area","area_5",0.9,0.28,2.29
"rainbowtrout",2024-05-01,"area","area_3",0.64,0.35,2.01
"salmon",2024-04-01,"area","area_4",1.02,0.38,2.1
"rainbowtrout",2023-10-01,"area","area_5",0.62,0.42,1.72
"rainbowtrout",2022-12-01,"area","area_1",0.66,0.11,2.34
"rainbowtrout",2024-04-01,"area","area_2",0.82,0.44,2.49
"rainbowtrout",2021-02-01,"area","area_1",0.77,0.2,2.35
"salmon",2022-06-01,"area","area_2",0.94,0.23,2.42
"salmon",2022-09-01,"area","area_1",1.33,0.3,2.02
"rainbowtrout",2025-12-01,"area","area_3",1.21,0.49,1.99
"rainbowtrout",2022-07-01,"area","area_3",1.37,0.38,2.15
"salmon",2023-12-01,"area","area_4",1.23,0.17,1.96
"rainbowtrout",2023-01-01,"area","area_4",1.06,0.32,2.15
"rainbowtrout",2023-12-01,"area","area_1",0.83,0.13,2.12
"rainbowtrout",2024-04-01,"area","area_5",1.33,0.47,2.06
"rainbowtrout",2021-04-01,"area","area_4",1.26,0.41,1.98
"rainbowtrout",2023-04-01,"area","area_4",0.82,0.39,2.09
"salmon",2021-08-01,"area","area_4",1.04,0.19,2.48
"salmon",2023-10-01,"area","area_4",1.37,0.3,1.8
"salmon",2021-11-01,"area","area_5",0.79,0.31,1.61
"rainbowtrout",2025-01-01,"area","area_2",0.78,0.42,2.21
"salmon",2023-10-01,"area","area_1",0.81,0.48,2.41
"salmon",2025-06-01,"area","area_5",1.23,0.33,1.78
"salmon",2025-04-01,"area","area_4",0.98,0.48,2.35
"salmon",2024-11-01,"area","area_3",0.95,0.19,1.57
"rainbowtrout",2025-01-01,"area","area_4",1.07,0.11,2.23
"rainbowtrout",2025-11-01,"area","area_3",0.88,0.19,1.64
"salmon",2021-01-01,"area","area_5",1.24,0.22,2.27
"salmon",2024-10-01,"area","area_4",0.7,0.36,2.31
"salmon",2021-02-01,"area","area_5",0.89,0.26,2.04
"rainbowtrout",2023-11-01,"area","area_2",1.08,0.41,2.26
"rainbowtrout",2022-08-01,"area","area_1",0.63,0.29,2.39
"salmon",2024-12-01,"area","area_2",0.69,0.38,1.99
"rainbowtrout",2023-01-01,"area","area_1",0.8,0.26,2.11
"salmon",2023-06-01,"area","area_2",1.41,0.12,2.37
"salmon",2025-09-01,"area","area_4",0.93,0.43,1.93
"salmon",2023-04-01,"area","area_5",1.29,0.24,1.81
"rainbowtrout",2024-10-01,"area","area_1",1.25,0.19,2.11
"salmon",2024-02-01,"area","area_5",1.31,0.2,1.67
"rainbowtrout",2021-05-01,"area","area_1",0.98,0.44,1.63
"rainbowtrout",2022-02-01,"area","area_4",1.18,0.23,2.11
"rainbowtrout",2021-11-01,"area","area_3",1.1,0.25,2.23
"salmon",2025-11-01,"area","area_5",1.14,0.47,2.2
"rainbowtrout",2023-07-01,"area","area_2",0.85,0.43,1.94
"salmon",2022-11-01,"area","area_3",0.89,0.15,2.01
"rainbowtrout",2022-04-01,"area","area_1",0.96,0.26,1.73
"salmon",2025-07-01,"area","area_1",1.09,0.3,1.71
"salmon",2022-02-01,"area","area_3",1.25,0.4,2.14
"rainbowtrout",2024-01-01,"area","area_1",1.32,0.17,2.39
"salmon",2021-09-01,"area","area_1",1.33,0.32,2.11
"rainbowtrout",2022-06-01,"area","area_1",0.77,0.26,1.7
"rainbowtrout",2022-10-01,"area","area_4",0.99,0.3,1.77
"salmon",2025-09-01,"area","area_2",0.93,0.42,1.79
"salmon",2022-01-01,"area","area_1",1.19,0.38,2.08
"salmon",2025-08-01,"area","area_4",0.73,0.32,1.92
