"species","year","geo_group","region","losses","dead","discarded","escaped","other"
"salmon",2023,"area","area_4",6233856,4466118,133673,1603,1632462
"rainbowtrout",2023,"area","area_4",7958090,6647786,281939,4264,1024101
"salmon",2022,"area","area_4",8679837,7539221,267970,2700,869946
"rainbowtrout",2020,"area","area_4",6424396,4853359,264226,2884,1303927
"salmon",2021,"area","area_5",9652815,7943024,469125,7906,1232760
"salmon",2020,"area","area_1",6351200,5372884,268843,5175,704298
"salmon",2020,"area","area_2",9716166,7930531,355570,8804,1421261
"rainbowtrout",2024,"area","area_3",7116662,5595757,190306,4863,1325736
"rainbowtrout",2023,"area","area_2",8335703,6487427,353144,7834,1487298
"rainbowtrout",2022,"area","area_4",5437285,4274501,157476,4445,1000863
"salmon",2022,"area","area_3",7314546,5723299,151927,6324,1432996
"salmon",2023,"area","area_5",8444839,6026347,361711,3940,2052841
"rainbowtrout",2021,"area","area_2",5985146,5198995,233593,3557,549001
"rainbowtrout",2020,"area","area_1",9867072,8118131,345996,8659,1394286
"rainbowtrout",2024,"area","area_5",6254129,4535859,306901,1934,1409435
"salmon",2024,"area","area_2",5552391,4979991,177608,2728,392064
"rainbowtrout",2021,"area","area_3",5977756,4833264,133609,5260,1005623
"rainbowtrout",2021,"area","area_5",6829475,5445514,289016,2972,1091973
"salmon",2023,"area","area_1",5190997,4460083,103884,4276,622754
"salmon",2020,"area","area_4",6865378,5818486,310628,2341,733923
"salmon",2024,"area","area_5",5085204,3767516,176891,5061,1135736
"salmon",2021,"area","area_2",8334785,6677841,205732,3251,1447961
"rainbowtrout",2023,"area","area_5",6286601,5323521,179328,3739,780013
"rainbowtrout",2024,"area","area_2",5436170,4519820,237947,4132,674271
"rainbowtrout",2022,"area","area_2",6077510,4897597,189824,5434,984655
"salmon",2024,"area","area_4",5367078,4484484,223410,3634,655550
"salmon",2020,"area","area_5",7565744,6184443,194725,2639,1183937
"salmon",2024,"area","area_1",6340546,5431950,189726,3058,715812
"rainbowtrout",2024,"area","area_1",8297352,7368611,196361,5010,727370
"rainbowtrout",2020,"area","area_2",5135988,4239016,168345,577,728050
"rainbowtrout",2022,"area","area_5",8628817,6393554,429663,8243,1797357
"salmon",2021,"area","area_1",8161486,6568269,347747,1740,1243730
"salmon",2023,"area","area_2",7603201,6601150,178276,6487,817288
"rainbowtrout",2020,"area","area_5",5351009,4339919,183811,4381,822898
"rainbowtrout",2020,"area","area_3",5643241,4439552,151629,5033,1047027
"salmon",2020,"area","area_3",6614322,5554110,325867,1117,733228
"salmon",2021,"area","area_3",5299837,4652933,111081,4391,531432
"salmon",2022,"area","area_1",8311838,6116367,341099,3799,1850573
"rainbowtrout",2022,"area","area_1",6177577,5431840,240906,2745,502086
"rainbowtrout",2023,"area","area_1",8198788,6490891,341950,5378,1360569
"salmon",2021,"area","area_4",6035784,4397558,286029,1218,1350979
"salmon",2023,"area","area_3",6325023,4923076,166026,5875,1230046
"salmon",2024,"area","area_3",8772966,7399948,293869,2929,1076220
"rainbowtrout",2021,"area","area_1",6147003,5387728,278204,1431,479640
"salmon",2022,"area","area_5",8235407,6931296,243662,1386,1059063
"salmon",2022,"area","area_2",9218276,8155900,349896,2385,710095
"rainbowtrout",2021,"area","area_4",6423677,4628255,150463,3960,1640999
"rainbowtrout",2023,"area","area_3",5608350,4506818,276345,2824,822363
"rainbowtrout",2022,"area","area_3",6153562,4892005,236859,3479,1021219
"rainbowtrout",2024,"area","area_4",9479261,7893614,360919,2792,1221936
"salmon",2024,"county","county_1",6302139,5175132,312683,5002,809322
"rainbowtrout",2022,"county","county_2",6687813,4684146,303974,3907,1695786
"salmon",2020,"county","county_1",9114026,6863819,314098,4655,1931454
"rainbowtrout",2023,"county","county_1",7553436,5421478,165395,5739,1960824
"salmon",2022,"county","county_3",6975585,5550956,199643,2447,1222539
"salmon",2022,"county","county_2",7033710,5648404,147327,2400,1235579
"salmon",2021,"county","county_3",7456488,6603653,231171,6860,614804
"salmon",2022,"county","county_1",9094137,7967289,406842,1042,718964
"salmon",2023,"county","county_3",6554440,4738682,211930,6054,1597774
"rainbowtrout",2021,"county","county_1",8669796,7025907,255885,4492,1383512
"rainbowtrout",2024,"county","county_3",8177259,6434272,378462,1410,1363115
"rainbowtrout",2020,"county","county_2",9925252,7354422,429281,8385,2133164
"salmon",2020,"county","county_3",7173156,6291718,227375,1541,652522
"rainbowtrout",2020,"county","county_1",8961764,8025951,429341,1353,505119
"rainbowtrout",2024,"county","county_2",5571446,4829836,185477,5108,551025
"salmon",2024,"county","county_3",8987979,7273781,374376,4305,1335517
"rainbowtrout",2021,"county","county_2",8208650,6128539,354742,7768,1717601
"salmon",2023,"county","county_2",9833141,8709570,488498,6064,629009
"rainbowtrout",2022,"county","county_1",6930194,5905488,225409,4384,794913
"salmon",2023,"county","county_1",6504194,4726836,164639,2322,1610397
"salmon",2024,"county","county_2",6564587,4638806,256784,6166,1662831
"rainbowtrout",2021,"county","county_3",9300006,7442035,267005,1539,1589427
"salmon",2021,"county","county_2",8593599,7468728,232976,6212,885683
"rainbowtrout",2023,"county","county_3",7923431,6253584,217729,4774,1447344
"rainbowtrout",2023,"county","county_2",8567693,7029322,275997,2969,1259405
"rainbowtrout",2024,"county","county_1",5803934,4281325,273383,1097,1248129
"salmon",2021,"county","county_1",6179812,4842366,271944,706,1064796
"rainbowtrout",2022,"county","county_3",8697973,6535960,249001,6406,1906606
"salmon",2020,"county","county_2",7783984,5835380,247948,7075,1693581
"rainbowtrout",2020,"county","county_3",6204786,4561951,295914,2806,1344115
"salmon",2023,"country","Country",5392009,4616696,259212,3820,512281
"salmon",2022,"country","Country",5644753,4680938,250979,2001,710835
"salmon",2021,"country","Country",9420595,7039127,384553,2076,1994839
"salmon",2024,"country","Country",5256416,4526953,198709,4433,526321
"rainbowtrout",2020,"country","Country",6906215,6191663,162486,2532,549534
"rainbowtrout",2024,"country","Country",8646686,7132239,383208,5845,1125394
"rainbowtrout",2022,"country","Country",5795875,4575864,265759,1798,952454
"rainbowtrout",2021,"country","Country",8722687,6527343,376558,8708,1810078
"salmon",2020,"country","Country",7796645,6893197,306807,7590,589051
"rainbowtrout",2023,"country","Country",6616900,4911042,299835,845,1405178
